id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_131700_c67420c1,18001-15-S1,18001202591501,56.43,0.00
__export__.product_product_131703_64e8f22a,18001-15-S2,18001202591502,56.43,0.00
__export__.product_product_131764_e798ba19,18001-16-S1,18001202591601,56.43,0.00
__export__.product_product_131767_37be0fe3,18001-16-S2,18001202591602,56.43,0.00
__export__.product_product_131831_fc0b6607,18001-17-S2,18001202591702,56.43,0.00
__export__.product_product_131735_70c5fc76,18001-15.5-S2,18001202591552,56.43,0.00
__export__.product_product_131732_5f92040f,18001-15.5-S1,18001202591551,56.43,0.00
__export__.product_product_131828_25a66623,18001-17-S1,18001202591701,56.43,0.00
__export__.product_product_131799_5e4d1a75,18001-16.5-S2,18001202591652,56.43,0.00
__export__.product_product_131668_f4ad3ebf,18001-14.5-S1,18001202591451,56.43,0.00
__export__.product_product_132751_db86e9fe,17604BG-DC-18.5-S1,1760425BGDC1851,91.22,0.00
__export__.product_product_132778_c801cbcb,17604BG-DC-19-S2,1760425BGDC1902,91.22,0.00
__export__.product_product_132832_b2efb31d,8020-55/M,8020552259M01,104.26,0.00
__export__.product_product_132826_7d51b98b,17604BG-DC-20-S2,1760425BGDC2002,91.22,0.00
__export__.product_product_132915_ba9e41e4,17604DC-14.5-S1,17604DC202491451,82.52,0.00
__export__.product_product_133062_c7266ba2,8020-105/L,8020105259L01,104.26,0.00
__export__.product_product_133059_5bd79dfb,8020-105/M,8020105259M01,104.26,0.00
__export__.product_product_132946_e35ce5ab,17604DC-15-S2,17604DC202491502,82.52,0.00
__export__.product_product_132837_0737cf6e,8020-55/L,8020552259L01,104.26,0.00
