sku,nombre_contifico,producto_madre_detectado,categoria_odoo_detectada,talla_detectada,manga_detectada,ancho_corbata_detectado,marca_detectada,color_detectado,barcode,precio,costo,stock_bpu,stock_tur,stock_bat,stock_total_contifico,estado,confidence,parser_rule
HD19152-23/46,H. LEVA P/CABALLERO BRUNO CASSINI KHAKI,Leva HD19152-23,Ropa / Hombres / Levas,46,,,Bruno Cassini,,HD1915223202546,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
GEO1982-4/60,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,60,,,Bruno Cassini,Verde,G19820420251260,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
GEO1982-4/54,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,54,,,Bruno Cassini,Verde,G19820420251254,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
GEO1982-4/58,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva GEO1982-4,Ropa / Hombres / Levas,58,,,Bruno Cassini,Verde,G19820420251258,165.13,0.00,3.00,0.00,0.00,3.00,ok,0.95,blazer
24B11398-157/54,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,54,,,Bruno Cassini,,24B113981572554,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
24B11398-157/52,H. LEVA P/CABALLERO BRUNO CASSINI TAUPE,Leva 24B11398-157,Ropa / Hombres / Levas,52,,,Bruno Cassini,,24B113981572552,165.13,0.00,10.00,0.00,0.00,10.00,ok,0.95,blazer
23E4246-4-PAT/60,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4-PAT,Ropa / Hombres / Levas,60,,,Bruno Cassini,Verde,23E424604202560PT,173.83,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4/46,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,46,,,Bruno Cassini,Verde,23E424604202546,165.13,0.00,4.00,0.00,0.00,4.00,ok,0.95,blazer
23E4246-4/48,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,48,,,Bruno Cassini,Verde,23E424604202548,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
23E4246-4/50,H. LEVA P/CABALLERO BRUNO CASSINI VERDE OLIVO,Leva 23E4246-4,Ropa / Hombres / Levas,50,,,Bruno Cassini,Verde,23E424604202550,165.13,0.00,12.00,0.00,0.00,12.00,ok,0.95,blazer
