External ID,Name,Internal Reference,Barcode,available_in_pos,record_type,Variant Values
product_template_iw_2289d086_dust,M. CINTURONES P/DAMA DUSTY BL,IW-2289D086-DUST,IW-2289D086-DUST,True,simple_product,
product_template_iw_27009_cla,M. CINTURONES P/DAMA CLAY,IW-27009-CLA,IW-27009-CLA,True,simple_product,
product_template_iw_27009_la,M. CINTURONES P/DAMA LAVENDER,IW-27009-LA,IW-27009-LA,True,simple_product,
product_template_iw_2289d086_nu,M. CINTURONES P/DAMA NUDE,IW-2289D086-NU,IW-2289D086-NU,True,simple_product,
product_template_iw_27009_ltc,M. CINTURONES P/DAMA LT. CAMEL,IW-27009-LTC,IW-27009-LTC,True,simple_product,
product_template_jy_35,M. JOYERO P/DAMA VARIOS MODELOS,JY-35,JY-35,True,simple_product,
product_template_jy_24,M. JOYERO P/DAMA VARIOS MODELOS,JY-24,JY-24,True,simple_product,
product_template_jy_001,M. TOP FAISCA P/DAMA,JY-001,JY-001,True,simple_product,
product_template_jy_002,M.TOP FAISCA P/DAMA,JY-002,JY-002,True,simple_product,
product_template_an_2737,FASHION NECKLACE VARIOS MODELOS,AN-2737,AN-2737,True,simple_product,
product_template_pan_perla,PANUELO PARA HOMBRE PERLA,PAN-PERLA,PAN-PERLA,True,simple_product,
product_template_correa_ca3_1119,CORREAS CINT CUE NAP # 35 CAFÉ 3,CORREA-CA3-1119,CORREA-CA3-1119,True,simple_product,
product_template_cart_mk,M. CARTERA P/DAMA VARIOS MODELOS,CART-MK,CART-MK,True,simple_product,
product_template_torry_cart,M. CARTERA P/DAMA VARIOS MODELOS,TORRY-CART,TORRY-CART,True,simple_product,
