External ID,Internal Reference,match_failure_reason
product_template_pan_pink_print,PAN-PINK PRINT,No matching product.product in Odoo export
product_template_pan_orange_print,PAN-ORANGE PRINT,No matching product.product in Odoo export
product_template_pan_yellow_print,PAN-YELLOW PRINT,No matching product.product in Odoo export
product_template_pan_pur_print,PAN-PUR PRINT,No matching product.product in Odoo export
product_template_pan_lila_print,PAN-LILA PRINT,No matching product.product in Odoo export
product_template_car_3899,CAR-3899,No matching product.product in Odoo export
product_template_car_40460,CAR-40460,No matching product.product in Odoo export
product_template_car_506,CAR-506,No matching product.product in Odoo export
product_template_y17558,Y17558,No matching product.product in Odoo export
product_template_pin_b01_ro2,PIN-B01-RO2,No matching product.product in Odoo export
product_template_pin_b01_gl1,PIN-B01-GL1,No matching product.product in Odoo export
product_template_jcb_1310,JCB-1310,No matching product.product in Odoo export
product_template_jcb_1143,JCB-1143,No matching product.product in Odoo export
product_template_jcb_1388,JCB-1388,No matching product.product in Odoo export
product_template_jcb_1240,JCB-1240,No matching product.product in Odoo export
product_template_jcb_1077,JCB-1077,No matching product.product in Odoo export
product_template_jcb_1142,JCB-1142,No matching product.product in Odoo export
product_template_jcb_1108,JCB-1108,No matching product.product in Odoo export
product_template_iw_3855t923,IW-3855T923,No matching product.product in Odoo export
product_template_iw_3855a032,IW-3855A032,No matching product.product in Odoo export
product_template_iw_3855,IW-3855,No matching product.product in Odoo export
product_template_iw_38105,IW-38105,No matching product.product in Odoo export
product_template_iw_34101,IW-34101,No matching product.product in Odoo export
product_template_iw_33104,IW-33104,No matching product.product in Odoo export
product_template_iw_2878,IW-2878,No matching product.product in Odoo export
product_template_iw_22009,IW-22009,No matching product.product in Odoo export
product_template_iw_24001,IW-24001,No matching product.product in Odoo export
product_template_iw_3389,IW-3389,No matching product.product in Odoo export
product_template_iw_3392,IW-3392,No matching product.product in Odoo export
