source_sku,source_id,source_name,attempted_attribute,attempted_value,reason
CAR-3899,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,3899,Value not found in Odoo catalog
CAR-40460,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,40460,Value not found in Odoo catalog
CAR-506,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,506,Value not found in Odoo catalog
B-10150,,CINTURON JOIA TRADING,Talla,10150,Value not found in Odoo catalog
JCB-1310,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,1310,Value not found in Odoo catalog
JCB-1143,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,1143,Value not found in Odoo catalog
JCB-1388,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,1388,Value not found in Odoo catalog
IW-3855,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,3855,Value not found in Odoo catalog
IW-38105,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,38105,Value not found in Odoo catalog
IW-34101,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,34101,Value not found in Odoo catalog
IW-33104,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,33104,Value not found in Odoo catalog
IW-2878,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,2878,Value not found in Odoo catalog
IW-22009,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,22009,Value not found in Odoo catalog
B-6487,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,6487,Value not found in Odoo catalog
ABT-286,,CARTERA P/DAMA CON ACCESORIO,Talla,286,Value not found in Odoo catalog
ABT-262,,CARTERA P/DAMA CON ACCESORIO,Talla,262,Value not found in Odoo catalog
2IW-24001,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,24001,Value not found in Odoo catalog
IW-24001,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,24001,Value not found in Odoo catalog
2IW-2712,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,2712,Value not found in Odoo catalog
2IW-2753,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,2753,Value not found in Odoo catalog
2IW-28003,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,28003,Value not found in Odoo catalog
2IW-3880,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,3880,Value not found in Odoo catalog
3IW-17005,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,17005,Value not found in Odoo catalog
3IW-17006,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,17006,Value not found in Odoo catalog
3IW-17202,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,17202,Value not found in Odoo catalog
3IW-1788,,M. CINTURON P/DAMA VARIOS MODELOS,Talla,1788,Value not found in Odoo catalog
CAJA-01,,CAJA PARA ENVIO,Talla,01,Value not found in Odoo catalog
CALZ-01,,CALZADOR PARA ZAPATOS UNIVERSAL,Talla,01,Value not found in Odoo catalog
2IW-27004,,CINTURON P/DAMA,Talla,27004,Value not found in Odoo catalog
2IW-35012,,CINTURON P/DAMA,Talla,35012,Value not found in Odoo catalog
OEH-0053,,FASHION EARRING VARIOS MODELOS,Talla,0053,Value not found in Odoo catalog
BR-971,,BRACELET PC VARIOS MODELOS,Talla,971,Value not found in Odoo catalog
ME-5061,,FASHION EARRING VARIOS MODELOS,Talla,5061,Value not found in Odoo catalog
N-36246,,FASHION NECKLACE VARIOS MODELOS,Talla,36246,Value not found in Odoo catalog
EJ-71496,,FASHION EARRING VARIOS MODELOS,Talla,71496,Value not found in Odoo catalog
OEH-0206,,FASHION EARRING VARIOS MODELOS,Talla,0206,Value not found in Odoo catalog
CS-1282,,FASHION NECKLACE VARIOS MODELOS,Talla,1282,Value not found in Odoo catalog
ME-4331,,FASHION EARRING VARIOS MODELOS,Talla,4331,Value not found in Odoo catalog
ME-20024,,FASHION EARRING VARIOS MODELOS,Talla,20024,Value not found in Odoo catalog
CN-2502,,FASHION NECKLACE VARIOS MODELOS,Talla,2502,Value not found in Odoo catalog
PNE-3345,,FASHION EARRING VARIOS MODELOS,Talla,3345,Value not found in Odoo catalog
ME-4581,,FASHION EARRING VARIOS MODELOS,Talla,4581,Value not found in Odoo catalog
AN-2737,,FASHION NECKLACE VARIOS MODELOS,Talla,2737,Value not found in Odoo catalog
YK-1147,,FASHION EARRING VARIOS MODELOS,Talla,1147,Value not found in Odoo catalog
ME-4544,,FASHION EARRING VARIOS MODELOS,Talla,4544,Value not found in Odoo catalog
KSE-6307-4,,FASHION EARRING VARIOS MODELOS,Talla,4,Value not found in Odoo catalog
QN-4197,,FASHION NECKLACE VARIOS MODELOS,Talla,4197,Value not found in Odoo catalog
POE-3329,,FASHION EARRING VARIOS MODELOS,Talla,3329,Value not found in Odoo catalog
POE-3328,,FASHION EARRING VARIOS MODELOS,Talla,3328,Value not found in Odoo catalog
KN-7254,,FASHION NECKLACE VARIOS MODELOS,Talla,7254,Value not found in Odoo catalog
GLE-3553,,FASHION EARRING VARIOS MODELOS,Talla,3553,Value not found in Odoo catalog
GLE-3536,,FASHION EARRING VARIOS MODELOS,Talla,3536,Value not found in Odoo catalog
YK-120501,,FASHION EARRING VARIOS MODELOS,Talla,120501,Value not found in Odoo catalog
ME-4819,,FASHION EARRING VARIOS MODELOS,Talla,4819,Value not found in Odoo catalog
QN-4080,,FASHION EARRINGNECKLACE VARIOS MODELOS,Talla,4080,Value not found in Odoo catalog
ME-4812,,FASHION EARRING VARIOS MODELOS,Talla,4812,Value not found in Odoo catalog
ME-0036,,FASHION EARRING VARIOS MODELOS,Talla,0036,Value not found in Odoo catalog
GAF-2021-1,,GAFAS P/DAMAS VARIOS MODELOS,Talla,1,Value not found in Odoo catalog
GAF-2021-2,,GAFAS P/DAMAS VARIOS MODELOS,Talla,2,Value not found in Odoo catalog
GAF-2021-3,,GAFAS P/DAMAS VARIOS MODELOS,Talla,3,Value not found in Odoo catalog
JCB-1240,,M. CINTURON P/DAMA VERALOVER,Talla,1240,Value not found in Odoo catalog
IW-3389,,M. CORREA P/DAMA VARIOS MODELOS,Talla,3389,Value not found in Odoo catalog
PB-7310,,M. CARTERA P/DAMA VARIOS MODELOS,Talla,7310,Value not found in Odoo catalog
