id,Internal Reference,Barcode,Sales Price,Cost
__export__.product_product_85813_7eac528b,11304-15-S1,11304202591501,56.43,0.00
__export__.product_product_85814_262296af,11304-15-S2,11304202591502,56.43,0.00
__export__.product_product_85815_b1890fd8,11304-15.5-S1,11304202591551,56.43,0.00
__export__.product_product_85816_d0a05fa1,11304-15.5-S2,11304202591552,56.43,0.00
__export__.product_product_85817_e77d65bc,11304-16-S1,11304202591601,56.43,0.00
__export__.product_product_85818_14810b31,11304-16-S2,11304202591602,56.43,0.00
__export__.product_product_85819_2c3bb2a9,11304-16.5-S1,11304202591651,56.43,0.00
__export__.product_product_85820_3826c72d,11304-16.5-S2,11304202591652,56.43,0.00
__export__.product_product_85821_a5154c24,11304-17-S1,11304202591701,56.43,0.00
__export__.product_product_85822_3e70308f,11304-17-S2,11304202591702,56.43,0.00
__export__.product_product_85824_1f062074,11304-17.5-S2,11304202591752,56.43,0.00
__export__.product_product_85780_e090c544,8020-1/S,8020120259S01,104.26,0.00
__export__.product_product_85750_4bf6ba3a,18001-15-S1,18001202591501,56.43,0.00
__export__.product_product_85751_1a21c115,18001-15-S2,18001202591502,56.43,0.00
__export__.product_product_85754_a8224661,18001-16-S1,18001202591601,56.43,0.00
__export__.product_product_85755_11310110,18001-16-S2,18001202591602,56.43,0.00
__export__.product_product_85759_6ae55d42,18001-17-S2,18001202591702,56.43,0.00
__export__.product_product_85753_84e97a87,18001-15.5-S2,18001202591552,56.43,0.00
__export__.product_product_85752_18800b22,18001-15.5-S1,18001202591551,56.43,0.00
__export__.product_product_85758_891f4375,18001-17-S1,18001202591701,56.43,0.00
__export__.product_product_85757_f5c66c14,18001-16.5-S2,18001202591652,56.43,0.00
__export__.product_product_85748_03b986ea,18001-14.5-S1,18001202591451,56.43,0.00
__export__.product_product_85832_59014485,17604BG-DC-18.5-S1,1760425BGDC1851,91.22,0.00
__export__.product_product_85835_a45ef339,17604BG-DC-19-S2,1760425BGDC1902,91.22,0.00
__export__.product_product_85841_1737d929,8020-55/M,8020552259M01,104.26,0.00
__export__.product_product_85839_819d3c51,17604BG-DC-20-S2,1760425BGDC2002,91.22,0.00
__export__.product_product_85850_a2a38e1e,17604DC-14.5-S1,17604DC202491451,82.52,0.00
__export__.product_product_85863_0822ce9f,8020-105/L,8020105259L01,104.26,0.00
__export__.product_product_85862_a1f97f8b,8020-105/M,8020105259M01,104.26,0.00
__export__.product_product_85853_8eb905f3,17604DC-15-S2,17604DC202491502,82.52,0.00
