id,match_method,product_tmpl_id/id,Internal Reference,Barcode,Name,Variant Values,Sales Price,Cost
__export__.product_product_88640_8d09066b,tmpl_id,__import__.product_template_2011_55_n,2011-55-N/M,201155N231202,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: M,73.83,0.00
__export__.product_product_88639_c444357a,tmpl_id,__import__.product_template_2011_55_n,2011-55-N/S,201155N231201,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: S,73.83,0.00
__export__.product_product_88642_909b3b59,tmpl_id,__import__.product_template_2011_55_n,2011-55-N/XL,201155N231204,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: XL,73.83,0.00
__export__.product_product_88643_239085d0,tmpl_id,__import__.product_template_2011_55_n,2011-55-N/XXL,201155N231205,H. CAMISA LINO NORMAL SHIRT OLIVE BRUNO CASSINI,Talla: XXL,73.83,0.00
__export__.product_product_88578_d72f50d3,tmpl_id,__import__.product_template_cm0042dbu_n,CM0042DBU-N/M,C0042DBN231202,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI (cm0042dbu_n),Talla: M,47.74,0.00
__export__.product_product_88579_c9c3a282,tmpl_id,__import__.product_template_cm0042dbu_n,CM0042DBU-N/XL,C0042DBN231204,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI (cm0042dbu_n),Talla: XL,47.74,0.00
__export__.product_product_88577_8f467f3d,tmpl_id,__import__.product_template_cm0042dbu_n,CM0042DBU-N/S,C0042DBN231201,H. CAMISA NORMAL SHIRT BLUE BRUNO CASSINI (cm0042dbu_n),Talla: S,47.74,0.00
__export__.product_product_88647_1ea1e6b9,tmpl_id,__import__.product_template_cm0044wht_n,CM0044WHT-N/XL,C0044WHN231204,H. CAMISA NORMAL SHIRT WHITE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88645_f13bbba2,tmpl_id,__import__.product_template_cm0044wht_n,CM0044WHT-N/M,C0044WHN231202,H. CAMISA NORMAL SHIRT WHITE BRUNO CASSINI,Talla: M,47.74,0.00
__export__.product_product_88644_177fdda5,tmpl_id,__import__.product_template_cm0044wht_n,CM0044WHT-N/S,C0044WHN231201,H. CAMISA NORMAL SHIRT WHITE BRUNO CASSINI,Talla: S,47.74,0.00
__export__.product_product_88608_1240299f,tmpl_id,__import__.product_template_cm0044wht_f,CM0044WHT-F/XXL,C0044WHF231205,H. CAMISA FRENCH SHIRT WHITE BRUNO CASSINI,Talla: XXL,47.74,0.00
__export__.product_product_88607_2b55ec35,tmpl_id,__import__.product_template_cm0044wht_f,CM0044WHT-F/XL,C0044WHF231204,H. CAMISA FRENCH SHIRT WHITE BRUNO CASSINI,Talla: XL,47.74,0.00
__export__.product_product_88646_33a6bc13,tmpl_id,__import__.product_template_cm0044wht_n,CM0044WHT-N/L,C0044WHN231203,H. CAMISA NORMAL SHIRT WHITE BRUNO CASSINI,Talla: L,47.74,0.00
