Internal Reference,name_odoo,qty_available,barcode
1611-2BC-2/48,Terno 1611-2BC-2,0.0,161122023034830
1611-2BC-2/50,Terno 1611-2BC-2,0.0,161122023035032
1611-2BC-2/52,Terno 1611-2BC-2,0.0,161122023035234
1611-2BC-2/54,Terno 1611-2BC-2,0.0,161122023035436
1611-2BC-2/56,Terno 1611-2BC-2,0.0,161122023035638
1611-2BC-2/58,Terno 1611-2BC-2,0.0,161122023035840
1611-3BC-1/46,Terno 1611-3BC-1,0.0,16113B12023034628
1611-3BC-1/48,Terno 1611-3BC-1,0.0,16113B12023034830
1611-3BC-1/50,Terno 1611-3BC-1,0.0,16113B12023035032
1611-3BC-1/52,Terno 1611-3BC-1,0.0,16113B12023035234
1611-3BC-1/54,Terno 1611-3BC-1,0.0,16113B12023035436
1611-3BC-1/56,Terno 1611-3BC-1,0.0,16113B12023035638
1611-3BC-1/58,Terno 1611-3BC-1,0.0,16113B12023035840
1611-3BC-2/46,Terno 1611-3BC-2,0.0,161132023034628
1611-3BC-2/48,Terno 1611-3BC-2,0.0,161132023034830
1611-3BC-2/50,Terno 1611-3BC-2,0.0,161132023035032
1611-3BC-2/52,Terno 1611-3BC-2,0.0,161132023035234
1611-3BC-2/54,Terno 1611-3BC-2,0.0,161132023035436
1611-3BC-2/56,Terno 1611-3BC-2,0.0,161132023035638
1611-3BC-2/58,Terno 1611-3BC-2,0.0,161132023035840
1611-9/46,Leva 1611-9,0.0,1611920230346
1611-9/48,Leva 1611-9,0.0,1611920230348
1611-9/50,Leva 1611-9,0.0,1611920230350
1611-9/52,Leva 1611-9,0.0,1611920230352
1611-9/54,Leva 1611-9,0.0,1611920230354
1611-9/56,Leva 1611-9,0.0,1611920230356
1611-9/58,Leva 1611-9,0.0,1611920230358
1611-9/60,Leva 1611-9,0.0,1611920230360
16301-15.5-S1,Camisa 16301,0.0,16301202491551
16301-15.5-S2,Camisa 16301,0.0,16301202491552
16301-16-S1,Camisa 16301,0.0,16301202491601
16301-16-S2,Camisa 16301,0.0,16301202491602
16301-16.5-S1,Camisa 16301,0.0,16301202491651
16301-16.5-S2,Camisa 16301,0.0,16301202491652
16301-17-S1,Camisa 16301,0.0,16301202491701
16301-17-S2,Camisa 16301,0.0,16301202491702
16301-17.5-S2,Camisa 16301,0.0,16301202491752
16306-14.5-S1,Camisa 16306,0.0,163062022011451
16306-14.5-S2,Camisa 16306,0.0,163062022011452
16306-16.5-S1,Camisa 16306,0.0,163062022011651
16306-16.5-S2,Camisa 16306,0.0,163062022011652
16306-17-S1,Camisa 16306,0.0,163062022011701
16306-17-S2,Camisa 16306,0.0,163062022011702
16318-15.5-S1,Camisa 16318,0.0,16318202491551
16318-15.5-S2,Camisa 16318,0.0,16318202491552
16318-16.5-S1,Camisa 16318,0.0,16318202491651
16318-16.5-S2,Camisa 16318,0.0,16318202491652
16701-14.5-S1,Camisa 16701,0.0,16701202491451
16701-15-S1,Camisa 16701,0.0,16701202491501
16701-15-S2,Camisa 16701,0.0,16701202491502
16701-15.5-S1,Camisa 16701,0.0,16701202491551
16701-15.5-S2,Camisa 16701,0.0,16701202491552
16701-16-S1,Camisa 16701,0.0,16701202491601
16701-16-S2,Camisa 16701,0.0,16701202491602
16701-16.5-S1,Camisa 16701,0.0,16701202491651
16701-16.5-S2,Camisa 16701,0.0,16701202491652
16701-17-S1,Camisa 16701,0.0,16701202491701
16701-17-S2,Camisa 16701,0.0,16701202491702
16701-17.5-S2,Camisa 16701,0.0,16701202491752
16841-L,BRASILERA CHAMELA TABACO,0.0,16841-L
16841-M,BRASILERA CHAMELA TABACO,0.0,16841-M
17001-10BC-2/46,Terno 17001-10BC-2,0.0,17001102023034628
17001-10BC-2/48,Terno 17001-10BC-2,0.0,17001102023034830
17001-10BC-2/50,Terno 17001-10BC-2,0.0,17001102023035032
17001-10BC-2/52,Terno 17001-10BC-2,0.0,17001102023035234
17001-10BC-2/54,Terno 17001-10BC-2,0.0,17001102023035436
17001-10BC-2/56,Terno 17001-10BC-2,0.0,17001102023035638
17001-10BC-2/58,Terno 17001-10BC-2,0.0,17001102023035840
17001-2BC-2/46,Terno 17001-2BC-2,0.0,170012202264628
17001-2BC-2/48,Terno 17001-2BC-2,0.0,170012202264830
17001-2BC-2/50,Terno 17001-2BC-2,0.0,170012202265032
17001-2BC-2/52,Terno 17001-2BC-2,0.0,170012202265234
17001-2BC-2/54,Terno 17001-2BC-2,0.0,170012202265436
17001-2BC-2/56,Terno 17001-2BC-2,0.0,170012202265638
17001-2BC-2/58,Terno 17001-2BC-2,0.0,170012202265840
17001-3BC-2/46,Terno 17001-3BC-2,0.0,1700132023034628
17001-3BC-2/48,Terno 17001-3BC-2,0.0,1700132023034830
17001-3BC-2/50,Terno 17001-3BC-2,0.0,1700132023035032
17001-3BC-2/52,Terno 17001-3BC-2,0.0,1700132023035234
17001-3BC-2/54,Terno 17001-3BC-2,0.0,1700132023035436
17001-3BC-2/56,Terno 17001-3BC-2,0.0,1700132023035638
17001-3BC-2/58,Terno 17001-3BC-2,0.0,1700132023035840
17001-4BC-2/46,Terno 17001-4BC-2,0.0,1700142023034628
17001-4BC-2/48,Terno 17001-4BC-2,0.0,1700142023034830
17001-4BC-2/50,Terno 17001-4BC-2,0.0,1700142023035032
17001-4BC-2/52,Terno 17001-4BC-2,0.0,1700142023035234
17001-4BC-2/54,Terno 17001-4BC-2,0.0,1700142023035436
17001-4BC-2/56,Terno 17001-4BC-2,0.0,1700142023035638
17001-4BC-2/58,Terno 17001-4BC-2,0.0,1700142023035840
17001-7-BC-2/46,Terno 17001-7-BC-2,0.0,1700172023034628
17001-7-BC-2/48,Terno 17001-7-BC-2,0.0,1700172023034830
17001-7-BC-2/50,Terno 17001-7-BC-2,0.0,1700172023035032
17001-7-BC-2/52,Terno 17001-7-BC-2,0.0,1700172023035234
17001-7-BC-2/54,Terno 17001-7-BC-2,0.0,1700172023035436
17001-7-BC-2/56,Terno 17001-7-BC-2,0.0,1700172023035638
17001-7-BC-2/58,Terno 17001-7-BC-2,0.0,1700172023035840
